Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,604,419,589,190 ",0.55%,26.07,6.88,36.44,Analyze
MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$2,207,002,507,739 ",0.80%,31.09,11.94,13.83,Analyze
GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,805,278,992,900 ",0.00%,11.18,7.01,3.38,Analyze
GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,805,278,992,900 ",0.00%,10.59,7.01,3.2,Analyze
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,558,122,290,973 ",0.00%,47.96,3.32,11.58,Analyze
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$843,813,456,596 ",0.00%,158.6,15.68,28.99,Analyze
BRK.B,Berkshire Hathaway Inc. Class B,Common stocks,Large cap,Financials,"$742,613,466,205 ",0.00%,4.95,2.09,0.88,Analyze
NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$612,400,000,000 ",0.07%,63.48,22.75,23.27,Analyze
FB,Facebook Inc Class A,Common stocks,Large cap,Communication Services,"$581,160,046,065 ",0.00%,12.19,4.93,3.84,Analyze
UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$468,812,408,486 ",1.16%,27.6,1.64,6.65,Analyze
V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$466,961,480,000 ",0.65%,27.21,18.33,9.78,Analyze
JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$458,859,878,934 ",2.41%,22.27,4.89,6.28,Analyze
JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"$408,668,761,448 ",2.72%,8.9,3.36,1.41,Analyze
WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"$401,629,861,934 ",1.50%,29.42,0.7,4.83,Analyze
PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"$362,411,385,373 ",2.30%,25.06,4.63,8.15,Analyze
HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"$345,549,186,061 ",2.05%,21.37,2.29,-207.1,Analyze
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$345,175,787,580 ",1.88%,11.36,3.87,1.29,Analyze
MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"$334,246,348,549 ",0.52%,38.67,17.7,45.5,Analyze
XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$325,690,265,563 ",4.47%,14.51,1.18,1.98,Analyze
CVX,Chevron Corp,Common stocks,Large cap,Energy,"$307,148,638,198 ",3.39%,20,1.97,2.25,Analyze
PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"$297,587,495,245 ",2.93%,13.88,3.65,3.94,Analyze
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$276,014,035,015 ",3.35%,24.3,4.91,18.21,Analyze
LLY,Eli Lilly,Common stocks,Large cap,Health Care,"$263,266,839,511 ",1.27%,48.71,9.3,30.28,Analyze
KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"$257,758,797,943 ",2.83%,26.66,6.67,11.33,Analyze
DIS,Walt Disney,Common stocks,Large cap,Communication Services,"$251,502,298,981 ",0.00%,82.39,3.45,2.83,Analyze
